sample	layout	read	remote_relpath	url	md5	bytes
ERR3327094	SE	R1	fastq_public/near_east_ancient/ERR3327094.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/004/ERR3327094/ERR3327094.fastq.gz	3b21f5e0158eb9a76d94bc319c0cb2b2	10912271
ERR3327095	SE	R1	fastq_public/near_east_ancient/ERR3327095.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/005/ERR3327095/ERR3327095.fastq.gz	54b98c1d393a6dc55cdd1e0b9902579d	8710023
ERR3327096	SE	R1	fastq_public/near_east_ancient/ERR3327096.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/006/ERR3327096/ERR3327096.fastq.gz	3388e78a00e876eab6e15cb364fc2bb8	8713345
ERR3327100	SE	R1	fastq_public/near_east_ancient/ERR3327100.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/000/ERR3327100/ERR3327100.fastq.gz	39ea9d553a92d55b3b82f368e8f5ac8d	7732289
ERR3327102	SE	R1	fastq_public/near_east_ancient/ERR3327102.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/002/ERR3327102/ERR3327102.fastq.gz	0063bdedc40079a888c0c4fe2fbfc75a	4988194
ERR3327108	SE	R1	fastq_public/near_east_ancient/ERR3327108.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/008/ERR3327108/ERR3327108.fastq.gz	5c936b1477674db091f651070b61ec74	6887422
ERR3327112	SE	R1	fastq_public/near_east_ancient/ERR3327112.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/002/ERR3327112/ERR3327112.fastq.gz	ad60d427e2736f6fef7029e93cd91cfe	6971128
SRR2464109	SE	R1	fastq_public/UK_aurochs/SRR2464109.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR246/009/SRR2464109/SRR2464109.fastq.gz	44d8cd28535256fe1a55ff5c5d1deea9	106802718
ERR10445855	PE	R1	fastq_public/swiss/ERR10445855_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/055/ERR10445855/ERR10445855_1.fastq.gz	dd5da96838da645a8fc05bf0bc46f673	9240171136
ERR10445855	PE	R2	fastq_public/swiss/ERR10445855_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/055/ERR10445855/ERR10445855_2.fastq.gz	69d9318a3f4eaf50c8d3d5df4b71de3e	10974398436
