generation	Ne	population
14	6526.34	swedish_modern
15	6595.81	swedish_modern
16	6689.59	swedish_modern
17	6876.56	swedish_modern
18	7091.71	swedish_modern
19	7077.7	swedish_modern
20	7010.29	swedish_modern
21	6950.29	swedish_modern
22	6763.75	swedish_modern
23	6757.66	swedish_modern
24	6670.42	swedish_modern
25	6596.4	swedish_modern
26	6536.2	swedish_modern
27	6459.05	swedish_modern
28	6255.46	swedish_modern
29	6034.57	swedish_modern
30	5925.09	swedish_modern
31	5746.47	swedish_modern
32	5708.7	swedish_modern
33	5579.09	swedish_modern
34	5437.46	swedish_modern
35	5283.72	swedish_modern
36	4949.25	swedish_modern
37	4956.49	swedish_modern
38	4884.88	swedish_modern
39	4773.63	swedish_modern
40	4751.2	swedish_modern
41	4733.87	swedish_modern
42	4584.97	swedish_modern
43	4423.75	swedish_modern
44	4398.73	swedish_modern
45	4416.12	swedish_modern
46	4337.67	swedish_modern
47	4052.28	swedish_modern
48	3912.4	swedish_modern
49	3739.83	swedish_modern
50	3623.46	swedish_modern
51	3402.59	swedish_modern
52	3147.38	swedish_modern
53	2997.13	swedish_modern
54	2850.51	swedish_modern
55	2785.07	swedish_modern
56	2778.07	swedish_modern
57	2743.32	swedish_modern
58	2652.88	swedish_modern
59	2558.53	swedish_modern
60	2514.95	swedish_modern
61	2462.86	swedish_modern
62	2425.17	swedish_modern
63	2416.95	swedish_modern
64	2323.1	swedish_modern
65	2288.36	swedish_modern
66	2198.02	swedish_modern
67	2161.07	swedish_modern
68	2147.09	swedish_modern
69	2120.07	swedish_modern
70	2128.51	swedish_modern
71	2219.28	swedish_modern
72	2328.15	swedish_modern
73	2401.67	swedish_modern
74	2392.4	swedish_modern
75	2408.73	swedish_modern
76	2336.14	swedish_modern
77	2292.86	swedish_modern
78	2329.12	swedish_modern
79	2456.52	swedish_modern
80	2596.74	swedish_modern
81	2591.78	swedish_modern
82	2626.42	swedish_modern
83	2647.01	swedish_modern
84	2667.78	swedish_modern
85	2715.5	swedish_modern
86	2761.62	swedish_modern
87	2692.13	swedish_modern
88	2679.91	swedish_modern
89	2621.67	swedish_modern
90	2658.54	swedish_modern
91	2677.5	swedish_modern
92	2680.15	swedish_modern
93	2658.05	swedish_modern
94	2698.15	swedish_modern
95	2744.13	swedish_modern
96	2918.73	swedish_modern
97	2980.54	swedish_modern
98	3009.71	swedish_modern
99	2969.02	swedish_modern
100	2969.05	swedish_modern
101	2985.67	swedish_modern
102	2961.89	swedish_modern
103	2954.21	swedish_modern
104	2973.65	swedish_modern
105	3074.64	swedish_modern
106	3152.99	swedish_modern
107	3212.02	swedish_modern
108	3287.17	swedish_modern
109	3473.12	swedish_modern
110	3775.92	swedish_modern
111	3815.24	swedish_modern
112	3814.79	swedish_modern
113	3789.54	swedish_modern
114	3778.7	swedish_modern
115	3791.31	swedish_modern
116	3814.22	swedish_modern
117	3902.61	swedish_modern
118	3947.37	swedish_modern
119	4068.33	swedish_modern
120	4121.55	swedish_modern
121	4192.04	swedish_modern
122	4219.34	swedish_modern
123	4248.98	swedish_modern
124	4358.26	swedish_modern
125	4455.5	swedish_modern
126	4571.39	swedish_modern
127	4908.91	swedish_modern
128	5264.39	swedish_modern
129	5439.04	swedish_modern
130	5662.18	swedish_modern
131	5820.93	swedish_modern
132	5886.55	swedish_modern
133	6088.23	swedish_modern
134	6255.93	swedish_modern
135	6857.52	swedish_modern
136	7488.08	swedish_modern
137	7935.25	swedish_modern
138	8121.39	swedish_modern
139	8226.86	swedish_modern
140	8351.83	swedish_modern
141	8711.52	swedish_modern
142	9020.12	swedish_modern
143	9264.9	swedish_modern
144	9365.27	swedish_modern
145	9388.22	swedish_modern
146	9613.91	swedish_modern
147	9846.02	swedish_modern
148	9844.96	swedish_modern
149	10066.8	swedish_modern
150	10222.0	swedish_modern
151	10371.4	swedish_modern
152	10557.9	swedish_modern
153	10584.2	swedish_modern
154	10711.5	swedish_modern
155	10832.2	swedish_modern
156	11127.9	swedish_modern
157	11270.7	swedish_modern
158	11743.3	swedish_modern
159	11943.1	swedish_modern
160	12306.5	swedish_modern
161	12884.0	swedish_modern
162	13148.0	swedish_modern
163	13494.5	swedish_modern
164	13693.9	swedish_modern
165	13738.0	swedish_modern
166	13788.4	swedish_modern
167	13842.8	swedish_modern
168	13688.8	swedish_modern
169	13525.7	swedish_modern
170	13491.2	swedish_modern
171	13493.2	swedish_modern
172	13689.5	swedish_modern
173	13999.9	swedish_modern
174	14051.3	swedish_modern
175	13963.1	swedish_modern
176	14569.7	swedish_modern
177	14960.5	swedish_modern
178	15054.8	swedish_modern
179	15442.2	swedish_modern
180	16241.5	swedish_modern
181	17420.1	swedish_modern
182	18565.3	swedish_modern
183	19915.4	swedish_modern
184	20066.9	swedish_modern
185	20575.9	swedish_modern
186	21057.8	swedish_modern
187	21417.7	swedish_modern
188	22576.8	swedish_modern
189	23142.2	swedish_modern
190	23721.6	swedish_modern
191	23748.4	swedish_modern
192	23842.7	swedish_modern
193	24246.0	swedish_modern
194	24292.2	swedish_modern
195	24530.4	swedish_modern
196	24696.2	swedish_modern
197	24518.7	swedish_modern
198	25077.7	swedish_modern
199	25068.8	swedish_modern
200	24871.9	swedish_modern
1	87.7018	Swiss_modern
2	87.7018	Swiss_modern
3	87.7018	Swiss_modern
4	87.7018	Swiss_modern
5	27501.0	Swiss_modern
6	27501.0	Swiss_modern
7	27501.0	Swiss_modern
8	27501.0	Swiss_modern
9	28857.8	Swiss_modern
10	29350.1	Swiss_modern
11	29434.0	Swiss_modern
12	29706.9	Swiss_modern
13	31526.6	Swiss_modern
14	31579.4	Swiss_modern
15	31769.8	Swiss_modern
16	31484.0	Swiss_modern
17	30983.9	Swiss_modern
18	30755.9	Swiss_modern
19	31126.1	Swiss_modern
20	31207.5	Swiss_modern
21	30499.6	Swiss_modern
22	30168.6	Swiss_modern
23	29747.8	Swiss_modern
24	29488.0	Swiss_modern
25	29880.8	Swiss_modern
26	29730.4	Swiss_modern
27	30099.0	Swiss_modern
28	29964.7	Swiss_modern
29	29222.2	Swiss_modern
30	29226.3	Swiss_modern
31	28980.3	Swiss_modern
32	28785.2	Swiss_modern
33	28381.9	Swiss_modern
34	27843.9	Swiss_modern
35	27963.5	Swiss_modern
36	27747.2	Swiss_modern
37	26961.1	Swiss_modern
38	27140.4	Swiss_modern
39	26309.1	Swiss_modern
40	25919.4	Swiss_modern
41	24982.8	Swiss_modern
42	24465.1	Swiss_modern
43	23975.5	Swiss_modern
44	23471.4	Swiss_modern
45	23112.6	Swiss_modern
46	22140.9	Swiss_modern
47	20476.4	Swiss_modern
48	19457.6	Swiss_modern
49	18479.2	Swiss_modern
50	17664.6	Swiss_modern
51	16969.4	Swiss_modern
52	16153.3	Swiss_modern
53	15236.7	Swiss_modern
54	14172.9	Swiss_modern
55	13029.8	Swiss_modern
56	11984.1	Swiss_modern
57	11412.8	Swiss_modern
58	10742.5	Swiss_modern
59	10293.1	Swiss_modern
60	10125.5	Swiss_modern
61	10192.1	Swiss_modern
62	9713.07	Swiss_modern
63	9443.78	Swiss_modern
64	8726.04	Swiss_modern
65	8379.92	Swiss_modern
66	8101.65	Swiss_modern
67	7907.87	Swiss_modern
68	7850.69	Swiss_modern
69	7487.2	Swiss_modern
70	7528.52	Swiss_modern
71	7408.53	Swiss_modern
72	7312.95	Swiss_modern
73	7178.33	Swiss_modern
74	7061.04	Swiss_modern
75	7007.07	Swiss_modern
76	6927.61	Swiss_modern
77	6840.41	Swiss_modern
78	6719.95	Swiss_modern
79	6501.37	Swiss_modern
80	6409.99	Swiss_modern
81	6389.88	Swiss_modern
82	6377.03	Swiss_modern
83	6420.39	Swiss_modern
84	6288.54	Swiss_modern
85	6305.97	Swiss_modern
86	6310.56	Swiss_modern
87	6272.58	Swiss_modern
88	6303.1	Swiss_modern
89	6453.27	Swiss_modern
90	6534.08	Swiss_modern
91	6565.63	Swiss_modern
92	6493.45	Swiss_modern
93	6330.94	Swiss_modern
94	6218.08	Swiss_modern
95	6228.58	Swiss_modern
96	6131.23	Swiss_modern
97	6018.87	Swiss_modern
98	5915.54	Swiss_modern
99	5862.76	Swiss_modern
100	5853.37	Swiss_modern
101	5800.07	Swiss_modern
102	5909.96	Swiss_modern
103	5876.52	Swiss_modern
104	5991.26	Swiss_modern
105	6023.6	Swiss_modern
106	6026.68	Swiss_modern
107	6025.51	Swiss_modern
108	5915.73	Swiss_modern
109	5846.2	Swiss_modern
110	5788.67	Swiss_modern
111	5782.04	Swiss_modern
112	5762.37	Swiss_modern
113	5776.14	Swiss_modern
114	5739.0	Swiss_modern
115	5811.71	Swiss_modern
116	5838.77	Swiss_modern
117	5861.1	Swiss_modern
118	5867.75	Swiss_modern
119	5781.63	Swiss_modern
120	5710.46	Swiss_modern
121	5661.07	Swiss_modern
122	5686.94	Swiss_modern
123	5707.59	Swiss_modern
124	5703.0	Swiss_modern
125	5734.5	Swiss_modern
126	5726.28	Swiss_modern
127	5696.33	Swiss_modern
128	5696.73	Swiss_modern
129	5724.93	Swiss_modern
130	5788.79	Swiss_modern
131	5720.93	Swiss_modern
132	5741.95	Swiss_modern
133	5801.97	Swiss_modern
134	5885.06	Swiss_modern
135	5946.13	Swiss_modern
136	6099.9	Swiss_modern
137	6093.9	Swiss_modern
138	6040.05	Swiss_modern
139	6027.55	Swiss_modern
140	5988.89	Swiss_modern
141	5973.91	Swiss_modern
142	5918.47	Swiss_modern
143	5865.08	Swiss_modern
144	5723.36	Swiss_modern
145	5543.68	Swiss_modern
146	5371.87	Swiss_modern
147	5392.16	Swiss_modern
148	5393.13	Swiss_modern
149	5421.47	Swiss_modern
150	5493.45	Swiss_modern
151	5461.78	Swiss_modern
152	5397.27	Swiss_modern
153	5377.27	Swiss_modern
154	5349.68	Swiss_modern
155	5349.23	Swiss_modern
156	5325.83	Swiss_modern
157	5343.15	Swiss_modern
158	5261.65	Swiss_modern
159	5216.0	Swiss_modern
160	5143.81	Swiss_modern
161	5116.29	Swiss_modern
162	5207.66	Swiss_modern
163	5273.11	Swiss_modern
164	5264.46	Swiss_modern
165	5297.97	Swiss_modern
166	5319.78	Swiss_modern
167	5333.1	Swiss_modern
168	5442.2	Swiss_modern
169	5439.32	Swiss_modern
170	5426.09	Swiss_modern
171	5398.54	Swiss_modern
172	5318.48	Swiss_modern
173	5278.45	Swiss_modern
174	5251.07	Swiss_modern
175	5260.87	Swiss_modern
176	5237.33	Swiss_modern
177	5179.77	Swiss_modern
178	5123.18	Swiss_modern
179	5111.91	Swiss_modern
180	5163.37	Swiss_modern
181	5204.98	Swiss_modern
182	5233.72	Swiss_modern
183	5205.72	Swiss_modern
184	5190.28	Swiss_modern
185	5142.04	Swiss_modern
186	5112.95	Swiss_modern
187	5154.39	Swiss_modern
188	5219.91	Swiss_modern
189	5290.75	Swiss_modern
190	5353.06	Swiss_modern
191	5466.48	Swiss_modern
192	5594.33	Swiss_modern
193	5660.14	Swiss_modern
194	5688.63	Swiss_modern
195	5781.14	Swiss_modern
196	5881.82	Swiss_modern
197	5868.75	Swiss_modern
198	5873.87	Swiss_modern
199	5904.02	Swiss_modern
200	5845.41	Swiss_modern
